路線名稱,公車代碼,方向
275,0400027500,去程
276,0100027600,去程
277,0100027700,去程
278,0100027800,去程
278區,0100027820,去程
280,0100028000,去程
280直,0100028030,去程
281,0100028100,去程
282,0100028200,去程
284,0100028400,去程
287區,0100028720,去程
292,0100029200,去程
300,0100030000,去程
520,0400052000,去程
539,0100053900,去程
556,0100055600,去程
568,0100056800,去程
573,0400057300,去程
574,0400057400,去程
575,0400057500,去程
576,0400057600,去程
578,0454021500,去程
579,0454021600,去程
580,0454022100,去程
581,0454022200,去程
582,0454022300,去程
582經洲子洋,0400058270,去程
582經工業區,0454058290,去程
583,0454022500,去程
585,0454050200,去程
586,0454090600,去程
589,0454091200,去程
591,0454091800,去程
600,0100060000,去程
604,0100060400,去程
605,0100060500,去程
606,0100060600,去程
612,0100061200,去程
616,0100061600,去程
624,0400062400,去程
624綠野香坡,0400062470,去程
629,0400062900,去程
629區,0400062920,去程
630,0100063000,去程
635,0400063500,去程
636,0400063600,去程
637,0400063700,去程
638,0400063800,去程
638副,0400063810,去程
639,0400063900,去程
640,0400064000,去程
643,0100064300,去程
645,0100064500,去程
645副,0100064510,去程
648,0100064800,去程
651,0100065100,去程
652,0100065200,去程
656,0400065600,去程
657,0400065700,去程
657延,0400065770,去程
658,0400065800,去程
660,0100066000,去程
660區,0100066020,去程
662,0100066200,去程
667,0400066700,去程
668,0100066800,去程
671,0100067100,去程
676,0100067600,去程
677,0400067700,去程
677副,0454091600,去程
678,0400067800,去程
679,0100067900,去程
680,0100068000,去程
681,0100068100,去程
682,0100068200,去程
685,0100068500,去程
688,0100068800,去程
701,0400070100,去程
702,0400070200,去程
704,0400070400,去程
704區,0400070420,去程
705,0400070500,去程
706,0400070600,去程
707,0400027510,去程
711,0100071100,去程
712,0400071200,去程
712副,0400071210,去程
756,0100075600,去程
760,0400076000,去程
778,0400077800,去程
779,0400077900,去程
783,0400078300,去程
787,0400078700,去程
787經瑞芳工業區,0400078770,去程
788,0400078800,去程
788區,0461078820,去程
788海科館,0400078870,去程
789,0400078900,去程
789區,0400078920,去程
790,0400079000,去程
790漁港,0400079070,去程
791,0400079100,去程
791區,0400079120,去程
791繞貢寮,0400079170,去程
791經貢寮區衛生,0400079190,去程
793,0400079300,去程
795往木柵(台灣好行-木柵平溪線),0400079570,去程
795往平溪(台灣好行-木柵平溪線),0400079580,去程
795往十分寮(台灣好行-木柵平溪線),0400079500,去程
796,0400079600,去程
797,0400079700,去程
799,0400079900,去程
800,0400080000,去程
801,0400080100,去程
802,0400080200,去程
802區,0400080220,去程
803,0400080300,去程
805,0400080500,去程
806,0400080600,去程
810,0400081000,去程
811,0400081100,去程
812,0400081200,去程
813,0400081300,去程
813區,0400081320,去程
815,0400081500,去程
816,0400081600,去程
817,0400081700,去程
819,0400081900,去程
819副,0400081910,去程
820,0400082000,去程
821,0400082100,去程
822,0400082200,去程
823,0400082300,去程
824,0400082400,去程
825,0400082500,去程
826,0400082600,去程
827,0400082700,去程
835,0400083500,去程
836,0400083600,去程
838,0400083800,去程
842,0400084200,去程
843,0400084300,去程
845,0400084500,去程
847,0400084700,去程
847區,0400084720,去程
849,0400084900,去程
849屈尺社區,0400084970,去程
853跳蛙,0463085300,去程
854,0400085400,去程
856(台灣好行-黃金福隆線),0400085600,去程
857,0400085700,去程
859,0400085900,去程
860,0400086000,去程
861,0400086100,去程
862,0400086200,去程
863,0400086300,去程
864,0400086400,去程
867區,0400086720,去程
869,0400086900,去程
875,0400087500,去程
876,0400087600,去程
878,0400087800,去程
878區,0400087820,去程
879,0400087900,去程
880,0400088000,去程
881,0400088100,去程
882,0400088200,去程
883,0400088300,去程
885,0400088500,去程
886區,0400088620,去程
889,0400088900,去程
890,0400089000,去程
894,0400089400,去程
895,0400089500,去程
896,0400089600,去程
897,0400089700,去程
897區,0400089720,去程
899,0400089900,去程
902,0100090200,去程
902區,0100090220,去程
905,0100090500,去程
906,0400090600,去程
909,0400090900,去程
912,0100091200,去程
913,0400091300,去程
918,0400091800,去程
918區,0400091820,去程
919,0400091900,去程
933,0400093300,去程
935,0400093500,去程
938,0400093800,去程
949,0100094900,去程
950,0100095000,去程
957,0100095700,去程
960,0415002900,去程
963,0400096300,去程
981,0410098100,去程
982,0410098200,去程
982區,0410098220,去程
982直達,0410098230,去程
982直達新埔線,0410098240,去程
983,0400098300,去程
985萬大樹林先導公車,0410098500,去程
藍1,0412000100,去程
橘1,0415000100,去程
紅2,0111000200,去程
棕2,0114000200,去程
藍2,0412000200,去程
橘2,0415000200,去程
綠2右,0413000200,去程
綠2左,0413000270,去程
藍海2線先導公車,0410000200,去程
紅3區,0111000320,去程
紅5,0111000500,去程
綠5,0413000500,去程
橘5,0415000500,去程
棕6,0114000600,去程
綠6,0413000600,去程
紅7,0111000700,去程
藍7,0112000700,去程
綠7,0413000700,去程
棕7,0414000700,去程
紅7區,0111000720,去程
藍7副,0112000710,去程
棕7建業路,0414000790,去程
棕7綠野香坡,0414000770,去程
綠8,0413000800,去程
橘9,0415000900,去程
紅10,0111001000,去程
藍10,0112001000,去程
綠10,0413001000,去程
橘10,0415001000,去程
紅10區,0111001020,去程
通勤11,0152003500,去程
紅12,0111001200,去程
通勤12,0152003600,去程
紅13,0411001300,去程
綠13,0413001300,去程
橘13,0415001300,去程
通勤13,0152003700,去程
紅15,0111001500,去程
藍15,0412001500,去程
綠15,0413001500,去程
通勤16,0152003800,去程
藍17,0412001700,去程
橘17,0415001700,去程
藍18,0412001800,去程
通勤18,0152004500,去程
橘19,0415001900,去程
橘19副,0415001910,去程
藍20區,0112002020,去程
藍21,0412002100,去程
通勤21,0152004400,去程
藍21副,0412002110,去程
紅22,0411002200,去程
藍22,0412002200,去程
通勤22,0152004200,去程
紅23,0411002300,去程
藍23,0412002300,去程
通勤24,0152004700,去程
藍25,0112002500,去程
橘25,0415002500,去程
通勤25,0152004900,去程
紅26,0411002600,去程
橘26,0415002600,去程
通勤26,0152005000,去程
紅27,0411002700,去程
通勤27,0152005100,去程
紅28,0411002800,去程
通勤28,0152005200,去程
紅28直,0411002830,去程
紅29,0111002900,去程
通勤29,0152005300,去程
紅31,0111003100,去程
藍36,0112003600,去程
紅36,0411003600,去程
紅37,0411003700,去程
藍37,0412003700,去程
紅37行經海洋都心社區,0411003790,去程
紅38,0411003800,去程
藍38,0412003800,去程
紅39,0411003900,去程
藍39,0412003900,去程
藍41,0412004100,去程
藍41延和,0412004170,去程
藍44,0412004400,去程
藍44延,0412004470,去程
藍45,0412004500,去程
藍46,0412004600,去程
紅50,0111005000,去程
紅51,0411005100,去程
紅53,0411005300,去程
中山幹線,0161000600,去程
仁愛幹線,0161000200,去程
